"","logCS"
"Akodon_aerosus",4.04813457140889
"Akodon_affinis",3.96145851120378
"Akodon_albiventer",3.95335454680202
"Akodon_azarae",3.94382958592806
"Akodon_boliviensis",3.92371840403355
"Akodon_budini",4.02167151091401
"Akodon_cursor",4.09212471500705
"Akodon_dayi",4.08659270814421
"Akodon_dolores",4.08844502932482
"Akodon_fumeus",3.93575698992697
"Akodon_iniscatus",3.99412945743896
"Akodon_juninensis",3.88324616762817
"Akodon_kofordi",3.93337194240504
"Akodon_lindberghi",3.82794923935342
"Akodon_lutescens",3.868760645341
"Akodon_mimus",3.97423868051988
"Akodon_mollis",3.95700855696398
"Akodon_montensis",4.07916623268542
"Akodon_mystax",3.85528146501684
"Akodon_orophilus",3.98623112526051
"Akodon_paranaensis",4.00776141438758
"Akodon_reigi",3.97774272147102
"Akodon_siberiae",3.99901945026992
"Akodon_simulator",4.06164754619596
"Akodon_spegazzinii",3.92389611164251
"Akodon_subfuscus",3.88185117872047
"Akodon_sylvanus",4.05798392351619
"Akodon_toba",4.07864372587813
"Akodon_torques",3.97460438592625
"Akodon_varius",4.08104826519226
"Bibimys_chacoensis",3.88756696772412
"Bibimys_labiosus",3.8671961463709
"Blarinomys_breviceps",3.81871849840264
"Brucepattersonius_soricinus",4.00256732329469
"Castoria_angustidens",4.04010586768283
"Deltamys_kempi",3.87630121050325
"Juscelinomys_huanchacae",4.23076184679872
"Kunsia_tomentosus",4.69202711675999
"Lenoxus_apicalis",4.27097298280566
"Necromys_amoenus",4.01372186401362
"Necromys_lactens",4.10302874421634
"Necromys_lasiurus",4.13456261481097
"Necromys_lenguarum",4.09415155425592
"Necromys_obscurus",4.12981803417623
"Necromys_urichi",4.04510504557738
"Oxymycterus_amazonicus",4.19959514663824
"Oxymycterus_dasytrichus",4.29861239197741
"Oxymycterus_delator",4.14371604971302
"Oxymycterus_hiska",4.09088676786282
"Oxymycterus_nasutus",4.14152063780733
"Oxymycterus_paramensis",4.20739956258343
"Oxymycterus_quaestor",4.32545417951377
"Oxymycterus_rufus",4.2110673884933
"Podoxymys_roraimae",3.93777259060146
"Scapteromys_aquaticus",4.46127991733623
"Scapteromys_tumidus",4.42780687267161
"Thalpomys_cerradensis",4.02112131568015
"Thalpomys_lasiotis",3.88404600991732
"Thaptomys_nigrita",3.9036471586896
